期別,開獎日,兌獎截止,獎金總額,獎號,特別號
108000091,108/10/18,109/01/18,"852,777,990","['36', '40', '39', '32', '23', '03']",49
108000090,108/10/15,109/01/15,"791,991,756","['13', '21', '38', '28', '37', '35']",33
108000089,108/10/11,109/01/11,"735,973,938","['07', '37', '21', '17', '12', '30']",49
108000088,108/10/08,109/01/08,"700,010,931","['18', '34', '21', '13', '26', '07']",08
108000087,108/10/04,109/01/04,"661,936,313","['48', '23', '33', '10', '21', '42']",41
108000086,108/10/01,109/01/01,"605,859,664","['02', '20', '15', '49', '12', '09']",40
108000085,108/09/27,108/12/27,"569,737,698","['37', '10', '21', '26', '35', '25']",04
108000084,108/09/24,108/12/24,"526,138,534","['39', '18', '20', '22', '16', '02']",21
108000083,108/09/20,108/12/20,"490,224,493","['08', '31', '24', '34', '23', '17']",25
108000082,108/09/17,108/12/17,"458,002,085","['41', '40', '48', '29', '12', '18']",24
